Time (s),Sensor 1 - Short Channel
10.497392892837524,2245
10.507750988006592,2304
10.517423868179321,2208
10.52734112739563,1879
10.537308931350708,2156
10.547385931015015,1796
10.559162855148315,1903
10.567177057266235,1888
10.576853036880493,1676
10.586812019348145,2142
10.59673810005188,1762
10.606758832931519,2092
10.616786003112793,2154
10.62674593925476,1984
10.636713981628418,2355
10.646681070327759,2078
10.656745910644531,2341
10.666766166687012,1132
10.676533937454224,135
10.696605920791626,122
10.70657205581665,2312
10.7865731716156,3881
10.836284875869751,3858
10.905757904052734,3867
10.955777168273926,3863
11.055668115615845,3891
11.105417966842651,3895
11.155375957489014,3886
11.204856157302856,3831
11.304502964019775,3881
11.604050874710083,3834
11.723734140396118,3897
11.75362515449524,3878
11.77360486984253,3899
11.823195934295654,3890
11.972710847854614,3899
12.022794008255005,3882
12.223611831665039,3889
12.271791219711304,3885
12.371596097946167,3885
12.421219110488892,3861
12.570969104766846,3889
12.59055209159851,3895
12.69041109085083,3876
12.710516929626465,3892
12.720478057861328,3851
12.730401992797852,3773
12.740403890609741,3696
12.749945163726807,3741
12.760012149810791,3452
12.770022869110107,3582
12.779996871948242,3249
12.789963960647583,3221
12.799886226654053,3160
12.809883832931519,2829
12.819785118103027,3104
12.829838037490845,2606
12.839877843856812,2752
12.849988222122192,2689
12.859724998474121,2426
12.869711875915527,2663
12.879861116409302,2319
12.88974118232727,2509
12.899760007858276,2362
12.909725904464722,2266
12.919697046279907,2378
12.929744958877563,2203
12.93969202041626,2299
12.950115203857422,2227
12.959535837173462,2030
12.969529867172241,2355
12.979578971862793,1817
12.989573955535889,1984
12.999737977981567,1727
13.009226083755493,1591
13.019215822219849,1696
13.029244899749756,1286
13.039199113845825,1679
13.049108028411865,1458
13.059278964996338,1449
13.069281101226807,1695
13.079308986663818,1406
13.089303016662598,1872
13.099294900894165,1672
13.10917615890503,1752
13.119970083236694,2013
13.12906002998352,1796
13.13907504081726,1996
13.148965835571289,1936
13.158962965011597,1895
13.168878078460693,2099
13.178930044174194,1735
13.188977003097534,2151
13.198662042617798,2007
13.208638906478882,1965
13.218601942062378,2188
13.22861909866333,1843
13.23878812789917,2152
13.248891830444336,2070
13.258829116821289,2120
13.26864218711853,2158
13.278652906417847,1806
13.288511991500854,2212
13.298508167266846,1957
13.30869197845459,2001
13.318336963653564,2167
13.328289031982422,1823
13.338268995285034,2212
13.348226070404053,1934
13.358603954315186,1995
13.368322134017944,2192
13.378071069717407,1876
13.388068199157715,2346
13.398192882537842,2023
13.408262014389038,2169
13.418375968933105,2185
13.42817997932434,1939
13.438188076019287,2246
13.44777798652649,2051
13.457898139953613,2123
13.467834949493408,2193
13.477919101715088,2067
13.4879310131073,2321
13.497931957244873,2114
13.507914066314697,2159
13.517913818359375,2232
13.527897834777832,1991
13.53788709640503,2368
13.547959089279175,2049
13.557849884033203,2138
13.56771206855774,2202
13.57772707939148,1925
13.587716102600098,2348
13.597738027572632,2016
13.607789039611816,2181
13.617813110351562,2145
13.627701997756958,2053
13.637285947799683,2215
13.647255182266235,2022
13.657294034957886,2183
13.667457103729248,2169
13.67720913887024,2019
13.68724799156189,2346
13.697249174118042,1979
13.707171201705933,2139
13.71724009513855,2146
13.727159023284912,2071
13.737277030944824,2350
13.747308015823364,1990
13.757328987121582,2224
13.766980171203613,2127
13.776947021484375,1893
13.787214994430542,1995
13.796788930892944,1720
13.806838035583496,1762
13.816779136657715,1636
13.826709032058716,1539
13.836750984191895,1715
13.846801042556763,1309
13.856718063354492,1681
13.866667032241821,1519
13.87664794921875,1548
13.886582136154175,1818
13.89670991897583,1465
13.906724214553833,1948
13.916456937789917,1865
13.926367998123169,1850
13.936584949493408,2225
13.946390151977539,1812
13.95659589767456,2185
13.966506958007812,2052
13.976192951202393,1935
13.986259937286377,2160
13.996302127838135,1913
14.006314039230347,2188
14.01661205291748,2069
14.026224851608276,2107
14.03629207611084,2359
14.046383142471313,2018
14.056026935577393,2356
14.066034078598022,2191
14.076015949249268,2179
14.086022853851318,2353
14.096029043197632,2027
14.106146097183228,2409
14.11611008644104,2084
14.12631607055664,2163
14.136429071426392,2288
14.146120071411133,2071
14.155736207962036,2280
14.165655136108398,2115
14.177316904067993,2178
14.186037063598633,2331
14.195664882659912,1997
14.205536127090454,2441
14.215409994125366,2170
14.225486993789673,2259
14.235598802566528,2402
14.245570182800293,2062
14.255504846572876,2437
14.265551805496216,2189
14.275559902191162,2305
14.285550117492676,2374
14.295139074325562,2121
14.305105924606323,2441
14.315118074417114,2261
14.325247049331665,2280
14.335079908370972,2437
14.345180034637451,2132
14.355359077453613,2419
14.365198850631714,2202
14.37537407875061,2241
14.384973049163818,2330
14.395000219345093,2120
14.405026197433472,2513
14.415009021759033,2115
14.425137042999268,2349
14.434952020645142,2276
14.445029973983765,2218
14.45487380027771,2452
14.464898109436035,2206
14.475100040435791,2329
14.484773874282837,2343
14.501398086547852,2170
14.504710912704468,2414
14.514864921569824,2222
14.524842023849487,2362
14.534556865692139,2366
14.54456901550293,2126
14.554553985595703,2435
14.564594030380249,2219
14.574736833572388,2311
14.584718227386475,2311
14.594645023345947,1995
14.604591846466064,2327
14.614605188369751,1889
14.624608039855957,1949
14.634711027145386,1814
14.64449691772461,1583
14.654221057891846,1874
14.664270877838135,1442
14.674130916595459,1702
14.684238910675049,1647
14.694365978240967,1522
14.704332113265991,1973
14.714321851730347,1644
14.72431993484497,1996
14.734400033950806,1926
14.744019985198975,1856
14.753903150558472,2265
14.763980150222778,1942
14.77406120300293,2238
14.784160137176514,2199
14.794111967086792,2038
14.804049015045166,2347
14.81413984298706,2058
14.823776960372925,2313
14.833903074264526,2223
14.84386682510376,2174
14.85381007194519,2440
14.864027976989746,2167
14.873923063278198,2400
14.88346815109253,2281
14.893604040145874,2292
14.903586149215698,2447
14.913665056228638,2195
14.923645973205566,2362
14.933627843856812,2303
14.943769931793213,2226
14.953391075134277,2473
14.963373184204102,2049
14.973326206207275,2407
14.98333215713501,2291
14.993284225463867,2232
15.00341510772705,2513
15.013423919677734,2093
15.023355960845947,2462
15.033431053161621,2293
15.043467044830322,2303
15.053316116333008,2438
15.063023805618286,2223
15.072985172271729,2411
15.082991123199463,2363
15.092953205108643,2291
15.102979183197021,2520
15.112982034683228,2191
15.123053073883057,2474
15.132987976074219,2325
15.14308500289917,2350
15.153102159500122,2503
15.163135051727295,2293
15.172624826431274,2458
15.182679176330566,2304
15.192615985870361,2341
15.202681064605713,2434
15.21280312538147,2175
15.222819089889526,2501
15.232767105102539,2295
15.246081113815308,2304
15.252681016921997,2454
15.262388944625854,2087
15.272377967834473,2483
15.282505989074707,2214
15.292443037033081,2324
15.302510023117065,2460
15.312625885009766,2137
15.322634935379028,2449
15.332249879837036,2247
15.342397928237915,2347
15.352234125137329,2436
15.362442970275879,2110
15.372488975524902,2457
15.382494926452637,2251
15.392165899276733,2321
15.401865005493164,2214
15.411924123764038,1898
15.421916007995605,2253
15.431995868682861,1831
15.442214965820312,1850
15.451949119567871,1811
15.462055921554565,1516
15.471973896026611,1979
15.481850862503052,1636
15.491941928863525,1885
15.502009868621826,1953
15.512049913406372,1818
15.521647214889526,2257
15.531677007675171,2017
15.541776895523071,2113
15.55175495147705,2256
15.56175684928894,1980
15.571843147277832,2404
15.581835985183716,2136
15.592010974884033,2307
15.601438999176025,2333
15.611363172531128,2084
15.6217200756073,2702
15.631641864776611,1572
15.641438961029053,151
15.651406049728394,114
15.68120002746582,140
15.70117998123169,148
15.711441040039062,116
15.73130488395691,208
15.751209020614624,105
15.781103134155273,142
15.800857067108154,143
15.831054925918579,234
15.850631952285767,129
15.88063907623291,122
15.9005708694458,137
15.930575847625732,145
15.95048189163208,128
15.980309963226318,203
16.000311136245728,143
16.03005599975586,122
16.049956798553467,172
16.08036708831787,168
16.10002899169922,131
16.13007688522339,121
16.149835109710693,151
16.179811000823975,153
16.19979691505432,114
16.229650020599365,159
16.249592065811157,110
16.27963399887085,221
16.299509048461914,131
16.329577922821045,207
16.34907078742981,137
16.399070978164673,204
16.418973922729492,102
16.44892382621765,181
16.468959093093872,111
16.498823881149292,181
16.51869225502014,117
16.54872703552246,172
16.568647861480713,129
16.598518133163452,194
16.618408918380737,122
16.62847113609314,101
16.648418188095093,138
16.668457984924316,101
16.6980459690094,148
16.71806311607361,112
16.728024005889893,104
16.759654998779297,236
16.76823925971985,113
16.79804801940918,191
16.817723989486694,151
16.84783911705017,144
16.867780208587646,169
16.897724866867065,225
16.917371034622192,148
16.937320947647095,162
16.9475200176239,272
16.957226037979126,243
16.967216968536377,453
16.977170944213867,442
16.987179040908813,1051
16.99703288078308,888
17.007109880447388,1361
17.01710796356201,1489
17.026990175247192,1468
17.036951065063477,2020
17.046956062316895,1734
17.057090044021606,2188
17.066972017288208,2152
17.076950073242188,2217
17.086973905563354,2472
17.096949100494385,2319
17.106734037399292,2573
17.1166410446167,2493
17.12664818763733,2516
17.136622190475464,2769
17.146637201309204,2324
17.15676999092102,2702
17.16677498817444,2555
17.176470041275024,2613
17.186511993408203,2850
17.196677923202515,2604
17.20671010017395,2867
